campaign,deployment,platform_name,latitude,longitude
ABoVE,ABoVE-D1_2017,Permanent Land Site,71.28,-156.6
ABoVE,ABoVE-D1_2017,Permanent Land Site,70.47,-157.41
ABoVE,ABoVE-D1_2017,Permanent Land Site,68.49,-155.75
ABoVE,ABoVE-D2_2018,Permanent Land Site,71.28,-156.6
ABoVE,ABoVE-D2_2018,Permanent Land Site,70.47,-157.41
ABoVE,ABoVE-D2_2018,Permanent Land Site,68.49,-155.75
ABoVE,ABoVE-D3_2019,Permanent Land Site,71.28,-156.6
ABoVE,ABoVE-D3_2019,Permanent Land Site,70.47,-157.41
ABoVE,ABoVE-D3_2019,Permanent Land Site,68.49,-155.75
