campaign,deployment,platform_name,latitude,longitude
ASIA-AQ,ASIA-AQ-D1_2024,Permanent Land Site,37.57,126.64
ASIA-AQ,ASIA-AQ-D1_2024,Permanent Land Site,37.16,127.02
ASIA-AQ,ASIA-AQ-D1_2024,Permanent Land Site,37.59,127.03
ASIA-AQ,ASIA-AQ-D1_2024,Permanent Land Site,37,127.27
ASIA-AQ,ASIA-AQ-D1_2024,Permanent Land Site,36.85,127.43
ASIA-AQ,ASIA-AQ-D1_2024,Permanent Land Site,37.6,127.06
ASIA-AQ,ASIA-AQ-D1_2024,Permanent Land Site,37.21,126.98
ASIA-AQ,ASIA-AQ-D1_2024,Balloon Launch Site,36.7,126.49
