campaign,deployment,platform_name,latitude,longitude
SOLVE,SOLVE-D1_1999,Permanent Land Site,78.92,11.93
SOLVE,SOLVE-D1_1999,Permanent Land Site,67.8,20.4
SOLVE,SOLVE-D1_1999,Balloon Launch Site,67.9,21.1
SOLVE,SOLVE-D2_2002,Permanent Land Site,78.92,11.93
SOLVE,SOLVE-D2_2002,Permanent Land Site,67.8,20.4
SOLVE,SOLVE-D2_2002,Balloon Launch Site,67.9,21.1
SOLVE,SOLVE-D2_2002,Rocket Launch Site,67.9,21.1
