campaign,deployment,platform_name,latitude,longitude
GOES-R PLT,GOES-R-PLT-D1_2017,Permanent Land Site,34.73,-86.65
GOES-R PLT,GOES-R-PLT-D1_2017,Permanent Land Site,40.45,-104.64
GOES-R PLT,GOES-R-PLT-D1_2017,Permanent Land Site,38.89,-77.17
GOES-R PLT,GOES-R-PLT-D1_2017,Permanent Land Site,28.59,-80.65
GOES-R PLT,GOES-R-PLT-D1_2017,Permanent Land Site,35.28,-97.92
GOES-R PLT,GOES-R-PLT-D1_2017,Permanent Land Site,43.67,-79.91
GOES-R PLT,GOES-R-PLT-D1_2017,Permanent Land Site,33.61,-101.82
