campaign,deployment,platform_name,latitude,longitude
AirMOSS,AirMOSS-D26_2014-Aug_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D27_2014-Sep_California,Permanent Land Site,38.43,-120.97
AirMOSS,AirMOSS-D28_2014-Sep_Canada_Oregon,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D28_2014-Sep_Canada_Oregon,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D28_2014-Sep_Canada_Oregon,Permanent Land Site,53.92,-104.7
AirMOSS,AirMOSS-D29_2014-Oct_Arizona_Oklahoma,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D29_2014-Oct_Arizona_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D30_2015-Feb_California,Permanent Land Site,38.43,-120.97
AirMOSS,AirMOSS-D31_2015-Feb_CostaRica,Permanent Land Site,10.42,-84.02
AirMOSS,AirMOSS-D32_2015-Apr_Oregon,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D33_2015-Apr_Mexico_Oklahoma,Permanent Land Site,19.51,-105.04
AirMOSS,AirMOSS-D33_2015-Apr_Mexico_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D34_2015-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D34_2015-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D34_2015-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D35_2015-May_California,Permanent Land Site,38.43,-120.97
AirMOSS,AirMOSS-D36_2015-Jun_Canada,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D36_2015-Jun_Canada,Permanent Land Site,53.92,-104.7
AirMOSS,AirMOSS-D37_2015-Aug_Arizona_Oklahoma,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D37_2015-Aug_Arizona_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D38_2015-Aug_Canada_Oregon,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D38_2015-Aug_Canada_Oregon,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D38_2015-Aug_Canada_Oregon,Permanent Land Site,53.92,-104.7
AirMOSS,AirMOSS-D39_2015-Sep_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D39_2015-Sep_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D39_2015-Sep_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D40_2015-Sep_Canada_Oregon,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D40_2015-Sep_Canada_Oregon,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D40_2015-Sep_Canada_Oregon,Permanent Land Site,53.92,-104.7
