campaign,deployment,platform_name,latitude,longitude
ACES,ACES-D1_2002,Permanent Land Site,25.61,-80.41
ACES,ACES-D1_2002,Permanent Land Site,24.6,-81.7
ACES,ACES-D1_2002,Permanent Land Site,28.54,-80.64
ACES,ACES-D1_2002,Field Site,28.24,-80.61
