campaign,deployment,platform_name,latitude,longitude
TRACER-AQ,TRACER-AQ-D1_2021,Vehicle,29.67,-95.06
TRACER-AQ,TRACER-AQ-D1_2021,Permanent Land Site,29.67,-95.06
TRACER-AQ,TRACER-AQ-D1_2021,Permanent Land Site,29.9,-95.33
TRACER-AQ,TRACER-AQ-D1_2021,Permanent Land Site,29.72,-95.34
TRACER-AQ,TRACER-AQ-D1_2021,Balloon Launch Site,29.6,-94.86
TRACER-AQ,TRACER-AQ-D1_2021,Balloon Launch Site,29.32,-94.52
TRACER-AQ,TRACER-AQ-D1_2021,Balloon Launch Site,29.46,-95.53
TRACER-AQ,TRACER-AQ-D1_2021,Balloon Launch Site,29.67,-95.06
TRACER-AQ,TRACER-AQ-D1_2021,Balloon Launch Site,29.72,-95.34
